date,close,ma200,dev,z_score,prob
2019-07-02,23.65,32.63053000000003,-0.3218852382567986,-2.354922972786528,0.009263272796999537
2019-07-03,23.51,32.611330000000024,-0.32723391145282865,-2.3598071723434435,0.009142218201351249
2019-07-05,23.58,32.588230000000024,-0.32355228512695683,-2.2451441202049436,0.01237944101135598
2019-07-08,24.23,32.56913000000002,-0.29577337240506324,-1.8242567930774716,0.03405662958414345
2019-07-09,24.3,32.55523000000002,-0.2924616812843455,-1.7406148460412116,0.040875556780801355
2019-07-10,23.56,32.53983000000002,-0.322914518654585,-2.100378633433553,0.01784777352240777
2019-07-11,23.17,32.52285000000003,-0.33908458077169135,-2.243874976266694,0.012420223307513223
2019-07-12,22.8,32.503500000000024,-0.3545872398845895,-2.3662966066185844,0.008983521787327317
2019-07-15,22.71,32.48245000000003,-0.35789458736571633,-2.3206601086239775,0.010152597651060856
2019-07-16,22.78,32.461350000000024,-0.3541671928513828,-2.198640393463027,0.013951751192341436
2019-07-17,23.36,32.444450000000025,-0.3285042382048989,-1.8262563787348278,0.033905826286983895
2019-07-18,23.115,32.42652500000003,-0.3384950032677791,-1.893397655379098,0.029152503501616064
2019-07-19,23.38,32.41142500000003,-0.3266300280541129,-1.7062100304519183,0.04398449093866732
2019-07-22,22.91,32.393975000000026,-0.3463989522506492,-1.8900080086701139,0.02937844449595746
2019-07-23,22.1,32.37347500000003,-0.3817618061394514,-2.2314589735871384,0.01282537109914121
2019-07-24,21.54,32.342175000000026,-0.40646043433365564,-2.4169478276432286,0.007825630136234527
2019-07-25,22.2,32.31197500000003,-0.3753456156762167,-2.0021966761061836,0.02263179152329718
2019-07-26,21.64,32.27697500000003,-0.39981067375596,-2.19716472280591,0.014004342025766753
2019-07-29,21.83,32.240725000000026,-0.3899452344167858,-2.030691603083041,0.02114314434143591
2019-07-30,22.34,32.18267500000003,-0.3650494706337154,-1.7288482540851646,0.04191812864679477
2019-07-31,23.59,32.11632500000003,-0.3085415744182236,-1.1030453894864278,0.13500372724614185
2019-08-01,25.45,32.073225000000036,-0.23130582692480423,-0.24754959315449596,0.4022414578463456
2019-08-02,25.66,32.03017500000003,-0.22174506804650065,-0.1331559477141331,0.4470350245797189
2019-08-05,29.3,32.016275000000036,-0.08865685123674025,1.3199264599591467,0.9065702138537901
2019-08-06,27.48,31.99137500000003,-0.15200786786550333,0.6249059069085948,0.7339835923633877
2019-08-07,27.62,31.955225000000027,-0.14579555624793047,0.6884933505181672,0.7544289218802184
2019-08-08,25.98,31.913775000000022,-0.2057107235235244,0.03718425676414495,0.514830954393097
2019-08-09,26.93,31.875525000000025,-0.1685975671076801,0.4438624784984793,0.6714289931646816
2019-08-12,28.89,31.840525000000024,-0.09724433505556943,1.2119323008338565,0.887230851799498
2019-08-13,26.76,31.781025000000028,-0.171961178317728,0.3996940444150384,0.655309060410934
2019-08-14,30.465,31.74405000000003,-0.04112682250157157,1.817367488254876,0.9654195687658269
2019-08-15,29.67,31.69245000000003,-0.06594204786644092,1.5537912062127548,0.9398828855845315
2019-08-16,28.03,31.63090000000003,-0.12085912573542179,0.9586245815313663,0.8311260477612556
2019-08-19,25.98,31.566750000000024,-0.1947773401935083,0.16522107088850327,0.5656150094951761
2019-08-20,26.6,31.511850000000027,-0.1694524497782292,0.4514098869915761,0.6741529206063717
2019-08-21,25.3,31.456500000000027,-0.21780124332367282,-0.07456156504303674,0.47028177780684544
2019-08-22,25.75,31.401950000000028,-0.19843536578704765,0.1437144145976574,0.5571370059185314
2019-08-23,28.96,31.365200000000026,-0.07978343054521542,1.4352018720145618,0.9243852098348454
2019-08-26,28.1,31.33030000000003,-0.10881610406531046,1.105870473050656,0.8656087067053637
2019-08-27,28.67,31.31040000000003,-0.08809903083252664,1.313066376162214,0.9054197086517868
2019-08-28,28.02,31.288000000000032,-0.11031609654435304,1.0579802738756863,0.8549677821434624
2019-08-29,26.85,31.256085000000034,-0.1519482562720593,0.6037810067996175,0.7270053756875698
2019-08-30,27.0,31.210785000000033,-0.14492684215685822,0.677571700197382,0.7509783527344042
2019-09-03,28.19,31.170085000000032,-0.10049151563057886,1.1391862159036772,0.8726872532330241
2019-09-04,26.45,31.115985000000027,-0.16246551597300019,0.4721222541602239,0.6815802356086126
